,Distance
693,8.616303864
694,8.616303864
695,11.848833
696,13.93040426
697,8.616303864
698,9.636417391
699,8.616303864
700,8.616303864
701,8.616303864
702,8.616303864
703,8.616303864
704,9.636417391
705,8.616303864
706,8.616303864
707,9.636417391
708,11.848833
709,8.616303864
710,8.616303864
711,8.616303864
712,9.636417391
713,8.616303864
714,8.616303864
715,8.616303864
716,9.636417391
717,8.616303864
718,8.616303864
719,8.616303864
720,8.616303864
721,9.636417391
722,8.616303864
723,8.616303864
724,8.616303864
725,8.616303864
726,8.616303864
727,8.616303864
728,8.616303864
729,8.616303864
730,8.616303864
731,8.616303864
732,8.616303864
733,8.616303864
734,11.848833
735,8.616303864
736,8.209493624
737,3.31233103
738,3.259081318
739,3.259081318
740,3.142375173
741,11.14934016
742,3.879537349
743,3.745829689
744,3.879537349
745,3.879537349
746,3.879537349
747,3.806453012
748,3.99925115
749,3.259081318
750,4.030454589
751,3.879537349
752,3.259081318
753,3.259081318
754,3.879537349
755,3.259081318
756,3.806453012
757,3.879537349
758,3.806453012
759,3.806453012
760,3.259081318
761,3.31233103
762,3.259081318
763,3.259081318
764,3.99925115
765,3.806453012
766,4.030454589
767,4.030454589
768,9.818602828
769,3.879537349
770,3.298275797
771,9.818602828
772,3.879537349
773,3.142375173
774,3.806453012
775,3.142375173
776,4.360089543
777,3.298275797
778,3.879537349
779,3.259081318
780,3.879537349
781,3.806453012
782,3.259081318
783,3.259081318
784,3.99925115
785,9.818602828
786,3.879537349
787,3.142375173
788,3.879537349
789,3.99925115
790,3.259081318
791,2.806506111
792,2.806506111
793,2.806506111
794,2.806506111
795,3.748415846
796,2.806506111
797,2.806506111
798,2.806506111
799,2.806506111
800,2.806506111
801,2.806506111
802,3.968510454
803,2.806506111
804,2.806506111
805,2.806506111
806,2.806506111
807,2.806506111
808,3.968510454
809,2.143357158
810,2.806506111
811,2.806506111
812,2.806506111
813,2.806506111
814,3.968510454
815,2.806506111
816,2.806506111
817,2.806506111
818,2.806506111
819,2.806506111
820,3.748415846
821,2.806506111
822,2.806506111
823,2.806506111
824,2.806506111
825,2.806506111
826,2.806506111
827,4.681816133
828,4.681816133
829,4.681816133
830,6.083995796
831,4.681816133
832,4.681816133
833,4.681816133
834,4.681816133
835,5.257947782
836,4.681816133
837,6.083995796
838,6.592322001
839,4.953828245
840,5.917063813
841,4.681816133
842,10.90813996
843,11.34376661
844,11.34376661
845,11.34376661
846,11.20939512
847,10.90813996
848,11.34376661
849,11.20939512
850,9.546767154
851,11.34376661
852,10.90813996
853,13.6401457
854,12.76899595
855,9.546767154
856,11.20939512
857,11.20939512
858,13.6401457
859,11.20939512
860,10.90813996
861,11.20939512
862,11.20939512
863,11.20939512
864,12.76899595
865,11.34376661
866,13.6401457
867,10.90813996
868,10.90813996
869,13.6401457
870,9.546767154
871,9.546767154
872,11.63351607
873,11.34376661
874,11.20939512
875,11.34376661
876,10.90813996
877,1.804889971
878,1.804889971
879,1.655661429
880,1.804889971
881,1.017731673
882,1.017731673
883,1.017731673
884,1.017731673
885,1.017731673
886,1.017731673
887,1.017731673
888,1.017731673
889,1.804889971
890,1.804889971
891,2.347918034
892,0.44967381
893,1.804889971
894,1.017731673
895,2.347918034
896,1.017731673
897,1.017731673
898,1.017731673
899,1.804889971
900,1.017731673
901,1.017731673
902,1.017731673
903,1.804889971
904,1.017731673
905,2.347918034
906,1.017731673
907,1.017731673
908,1.017731673
909,1.875114596
910,2.347918034
911,2.347918034
912,1.804889971
913,1.804889971
914,2.347918034
915,1.875114596
916,1.017731673
917,1.017731673
918,1.017731673
919,1.804889971
920,2.347918034
921,7.126264668
922,6.752678822
923,5.42929876
924,5.42929876
925,5.42929876
926,7.765243834
927,5.645132615
928,5.645132615
929,5.645132615
930,5.42929876
931,6.752678822
932,5.645132615
933,2.988320545
934,5.42929876
935,7.543949659
936,5.42929876
937,7.126264668
938,5.42929876
939,5.645132615
940,5.42929876
941,5.645132615
942,5.42929876
943,5.42929876
944,5.645132615
945,7.126264668
946,7.126264668
947,7.126264668
948,7.126264668
949,7.126264668
950,7.126264668
951,5.42929876
952,5.42929876
953,5.645132615
954,5.645132615
955,5.645132615
956,5.42929876
957,5.42929876
958,5.42929876
959,7.543949659
960,5.42929876
961,5.645132615
962,5.645132615
963,7.543949659
964,5.645132615
965,7.543949659
966,5.42929876
967,5.645132615
968,5.645132615
969,5.645132615
970,5.645132615
971,7.543949659
972,5.645132615
973,5.42929876
974,5.645132615
975,5.42929876
976,5.645132615
977,5.42929876
978,5.645132615
979,5.42929876
980,5.42929876
981,5.645132615
982,4.259099193
983,7.543949659
984,5.645132615
985,5.645132615
986,5.645132615
987,5.42929876
988,7.126264668
989,5.645132615
990,5.645132615
991,5.645132615
992,5.645132615
993,5.42929876
994,5.42929876
995,5.42929876
996,5.645132615
997,5.645132615
998,5.645132615
999,5.645132615
1000,6.752678822
1001,5.645132615
1002,5.645132615
1003,5.645132615
1004,5.645132615
1005,7.126264668
1006,7.765243834
1007,5.645132615
1008,5.645132615
1009,5.42929876
1010,5.42929876
1011,5.42929876
1012,2.988320545
1013,5.42929876
1014,5.645132615
1015,5.645132615
1016,7.765243834
1017,7.765243834
1018,7.765243834
1019,5.645132615
1020,7.543949659
1021,5.645132615
1022,5.42929876
1023,5.645132615
1024,5.645132615
1025,2.988320545
1026,5.42929876
1027,5.42929876
1028,7.765243834
1029,5.42929876
1030,5.42929876
1031,5.645132615
1032,5.645132615
1033,5.645132615
1034,5.42929876
1035,5.645132615
1036,5.645132615
1037,5.645132615
1038,5.645132615
1039,5.645132615
1040,7.543949659
1041,5.645132615
1042,5.645132615
1043,6.752678822
1044,5.645132615
1045,5.645132615
1046,5.42929876
1047,5.645132615
1048,5.645132615
1049,5.42929876
1050,6.752678822
1051,5.42929876
1052,7.765243834
1053,7.765243834
1054,6.752678822
1055,7.543949659
1056,5.42929876
1057,5.42929876
1058,6.752678822
1059,11.4117891
1060,5.645132615
1061,5.645132615
1062,5.42929876
1063,5.645132615
1064,7.765243834
1065,7.765243834
1066,7.765243834
1067,7.765243834
1068,5.42929876
1069,5.42929876
1070,5.42929876
1071,5.42929876
1072,5.42929876
1073,5.42929876
1074,5.645132615
1075,5.42929876
1076,5.42929876
1077,5.42929876
1078,11.4117891
1079,7.765243834
1080,7.765243834
1081,5.645132615
1082,5.645132615
1083,5.645132615
1084,7.126264668
1085,7.765243834
1086,7.765243834
1087,7.126264668
1088,5.42929876
1089,5.645132615
1090,4.259099193
1091,5.42929876
1092,5.42929876
1093,5.42929876
1094,7.126264668
1095,5.645132615
1096,5.645132615
1097,5.645132615
1098,5.645132615
1099,11.4117891
1100,5.42929876
1101,5.645132615
1102,5.42929876
1103,11.4117891
1104,5.42929876
1105,7.765243834
1106,5.645132615
1107,8.526360903
1108,5.42929876
1109,5.645132615
1110,5.42929876
1111,7.765243834
1112,7.765243834
1113,7.765243834
1114,5.42929876
1115,5.42929876
1116,5.42929876
1117,5.42929876
1118,7.126264668
1119,5.42929876
1120,5.42929876
1121,6.752678822
1122,5.42929876
1123,5.645132615
1124,7.126264668
1125,5.645132615
1126,7.765243834
1127,5.645132615
1128,5.42929876
1129,5.42929876
1130,5.42929876
1131,5.42929876
1132,7.765243834
1133,5.42929876
1134,5.42929876
1135,5.645132615
1136,5.42929876
1137,5.42929876
1138,5.42929876
1139,5.42929876
1140,5.645132615
1141,5.42929876
1142,5.42929876
1143,7.126264668
1144,5.645132615
1145,5.645132615
1146,5.645132615
1147,5.42929876
1148,7.765243834
1149,5.645132615
1150,5.42929876
1151,7.765243834
1152,7.765243834
1153,7.765243834
1154,5.42929876
1155,5.645132615
1156,5.42929876
1157,11.4117891
1158,5.42929876
1159,11.4117891
1160,5.42929876
1161,5.645132615
1162,7.765243834
1163,5.42929876
1164,6.752678822
1165,1.838878419
1166,5.645132615
1167,7.765243834
1168,7.126264668
1169,5.42929876
1170,7.126264668
1171,5.42929876
